  TCP    127.0.0.1:9245         0.0.0.0:0              LISTENING       6928
  TCP    127.0.0.1:9245         127.0.0.1:53730        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:53744        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:56024        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:56025        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:60991        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:60992        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:61747        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:61748        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:61933        TIME_WAIT       0
  TCP    127.0.0.1:9245         127.0.0.1:61934        TIME_WAIT       0
  TCP    127.0.0.1:49772        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:49773        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:49774        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50116        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50733        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50734        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50735        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50736        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50737        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50738        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50739        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50740        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50741        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50742        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50743        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50744        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50745        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50746        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50747        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50748        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50749        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50750        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50751        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50752        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50753        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50754        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50755        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50756        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50757        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50758        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50759        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50760        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50761        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50938        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:50939        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51071        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51072        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51073        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51074        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51075        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51076        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51077        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51078        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51079        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51080        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51081        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51082        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51083        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51084        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51085        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51086        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51087        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51088        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51089        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51090        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51091        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51092        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51093        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51094        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51095        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51097        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51099        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51100        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51202        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51203        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51204        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51206        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51207        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51209        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51210        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51220        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51221        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51222        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51223        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51224        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51225        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51230        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51231        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51232        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51233        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51234        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51235        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51236        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51237        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51238        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51239        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51240        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51241        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51242        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51243        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51244        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51246        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51247        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51249        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51250        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51251        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51252        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51253        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:51254        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53724        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53725        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53726        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53727        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53728        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53729        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53731        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53732        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53733        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53734        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53735        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53736        127.0.0.1:9245         TIME_WAIT       0
  TCP    127.0.0.1:53737        127.0.0.1:9245         TIME_WAIT       0
