ruta_base	tratamiento	nivel_revision	motivo	lineas_base	sha256_base
.aider-desk/tasks/9a61f064/.aider.chat.history.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	18	52e82ff6b4bd30a946e09593ec5a2087416bb7b448361e363f38c848557ac506
.github/PULL_REQUEST_TEMPLATE.md	Conservar gobierno	Inventario y barrido de enlaces	Contrato/plantilla de gobierno o continuidad; Notion decide alcance y estado, GitHub aporta evidencia técnica.	43	b9a787b0be3048688c5dd9edde033ac1510c8d297d43e1c74b345d0d93695d89
.github/agents/testing-center-green-prompt.md	Conservar gobierno	Inventario y barrido de enlaces	Contrato/plantilla de gobierno o continuidad; Notion decide alcance y estado, GitHub aporta evidencia técnica.	21	b45c2d78a7948b86d48049b31d91728cd45c5881e0962c6acb411c78f8fa235b
.github/agents/testing-center-red-prompt.md	Conservar gobierno	Inventario y barrido de enlaces	Contrato/plantilla de gobierno o continuidad; Notion decide alcance y estado, GitHub aporta evidencia técnica.	20	67a635674dcc3a453acbcce73cb8b14d5fe15c2da1b97ba5d22aed6a0fce6d76
.github/agents/testing-center-review-prompt.md	Conservar gobierno	Inventario y barrido de enlaces	Contrato/plantilla de gobierno o continuidad; Notion decide alcance y estado, GitHub aporta evidencia técnica.	26	ded1fd9f2cd47cd6f539345cb079bbe87c4e8f6b58c776a7e64af0f4e4fa89ac
.github/agents/testing-center-triage-prompt.md	Conservar gobierno	Inventario y barrido de enlaces	Contrato/plantilla de gobierno o continuidad; Notion decide alcance y estado, GitHub aporta evidencia técnica.	20	8d03a8de828b327400b9488af5b39b2263ce6376588d401b162098f1c0f1e2a2
.github/codex/testing-center-fix-prompt.md	Conservar gobierno	Inventario y barrido de enlaces	Contrato/plantilla de gobierno o continuidad; Notion decide alcance y estado, GitHub aporta evidencia técnica.	22	5dadf9f5e63a50a53299dae60acc6bfa9295be586c981467dceb0c11d4347111
.kilo/plans/1780343341726-misty-circuit.md	Actualizar	Revisión focal documentada	Repara ancla interna a encabezado existente en plan histórico.	1360	542dfe07c95feacc27f937b8f04ff09b61c8e8ea0cceeb7fe368d3974c287e7b
.kilo/session-summary.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	90	b03ab62688875b1377c53959aa073295ec66f96a3ba11be826e2b5194d95438e
.omo/docs/onboarding-frontend.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	237	10352cdf11f2c72469214142b094732a7708c4d42baad2c57d9bc167b5afd3e2
.omo/drafts/vantare-architecture.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	113	ba0c0576d5813df98894abe57e4236392a8edcf16d94f892cfac7a353f2992d5
.omo/evidence/2026-06-18-overlays-studio-miniplan-1.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	13	147c0896cec1e3a2883d991ff372008b5588c5353e691d610ac64ba16f96e0c5
.omo/evidence/2026-06-18-overlays-studio-miniplan-2.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	14	62d99d22a79db52e783ec806806fab6756e986c0016239ed121de53933fd4f89
.omo/evidence/final-qa/f3-canvas-particles.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	47	5eb20e97522486f7aa1fdd061c4a38761982f2a71d08b84e7f4e6580bc81ec69
.omo/evidence/final-qa/f3-changed-files.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	45	fcafedb9f568934d9331638932536373b4e6e46b3008e0f21cc0e71326656958
.omo/evidence/final-qa/f3-css-classes.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	29	a842a85ffa60a83a563e4336d57fdd2bb5a077fa90a2d179f0e936c6e6164210
.omo/evidence/final-qa/f3-css-tokens.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	23	6efd52dfe1cf82a497bbb84374b1490c844d6110af2104bb414af73a5ee77a6b
.omo/evidence/final-qa/f3-dashboard-page.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	42	986bb4566c8ae7c543a43fb1ba74d5edbf48fdd344808645d528bbef6e4db053
.omo/evidence/final-qa/f3-dashboard-panel.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	33	89a4d0d5ae155904090f21623b57a2631e1b104ac0f73c235117cf4e19e2948b
.omo/evidence/final-qa/f3-edge-cases.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	43	290966b7f5dd64d29adbe1006ab14280fe4cd631034df5412ee34539b95bb72a
.omo/evidence/final-qa/f3-panel-hooks.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	28	30624576ac5282628a332d698d97a98ca33513c0f46a43c85a9bca1c23ba021a
.omo/evidence/final-qa/f3-reduced-motion.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	31	2ed8ef78699406be6d29992bd08fb3553a472fc95691b08d7fa68b0873143537
.omo/evidence/final-qa/f3-responsive.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	41	4daff8fa1ebb0dbe30bb33d65c37ca050d512ee57c862062a7961376427391a0
.omo/evidence/final-qa/f3-test-results.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	31	ca7693d29f16a45c0ad061e27f680e796ac174006ea243f333a76a9f1be45fa3
.omo/evidence/sprint5a/DESKTOP_TESTS_FULL.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	588	2b3f2a74e25b7e81fbd6e394a44ae6ab1776464756a95752997afe41b9d0d3a9
.omo/evidence/sprint5a/QA_REPORT.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	222	e8cc511ef98dac56bb0d0bc88bb375801e7308383d5af8aa9e33e01a6f18b2e5
.omo/evidence/sprint5a/SIMCORE_TESTS_FULL.txt	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	216	33d2e9770f6114b0d6208c8feb54ac1c410cb2a7f1c391c3b38d6149db7cd496
.omo/evidence/sprint5b/README.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	54	40f98f0ce85116bf2daed52665d82cd7e34b1a2472a2f263b138a8afe09599bc
.omo/evidence/sprint6/README.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	68	856018cd940f33951b998a063848c3989861ab0de8bbee6036e45be5a9abf61a
.omo/evidence/sprint7/README.md	Referencia histórica	Inventario y barrido de enlaces	Capa antigua o registro de agentes; fuera del índice vigente, conservar contexto y evidencias de su corte.	24	c32e82f4f4cf9ed7314288b7b87375d4811c7efd4b890ef4aa73b3ab48d7acfe
