id,symbolsOrPath,method,BASE,result,verdict,snapshot,testBuildScope,variability,conceptBudget,rollback
EXP-01,overlay-main→Composite/Obs closure,graph+edit-lazy,1239626min Desktop,1155870min; save83756,WAIT FOR ACTIVE MIGRATION,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-02,OrbitShell literal lazy + KeepAlive,route-lazy,2204006min Hub,1553851min; prefetch/first-open UNKNOWN,WAIT FOR ACTIVE MIGRATION,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-03,i18n dictionaries active ES,locale-active,1239626min Desktop,866540min; races/fallback not validated,IMPLEMENT AFTER SMALL GATE,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-04,view-model pack import,geometry-defer,pack eager,76358min async still required; track-ID/namespace functional loader not built,NO MATERIAL BENEFIT,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-05,Hub Motion consumers,graph,0 Motion Overlay,Hub replacement not tested; no overlay candidate,REJECT,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-06,Hub auth restore,graph+source,0 Supabase Overlay;341679premin Hub,bootstrap minimum not proven; Clerk active,REJECT,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-07,index.css/fonts,final assets/manifest,330651CSS Desktop,font dedup verified; selector/paint cost UNKNOWN,IMPLEMENT AFTER SMALL GATE,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-08,draw/buildTrackOutlinePath,track-cache + actual979,209493ns finalBASE,6919ns finalHEAD; n10 checksum equal,IMPLEMENT NOW,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-09,coordinator/RuntimeWidgetFrame,cycles10/50,19 initial listeners,159after10 and50;20nodes;subscriptions0,NO MATERIAL BENEFIT,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-10,Publisher/Pull/runtime outer lock,Go bench/race + source,44car25105bytes7allocs,outer runtime.mu remains; contention/policy benchmarks pending,IMPLEMENT AFTER SMALL GATE,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-11,Strategy solver/version gate,Go bench+route split,solver~2600ns,domain not changed; first-mount queries UNKNOWN,NO MATERIAL BENEFIT,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-12,Engineer/Spotter/radio,Go bench+race,delivery~10us;radio path~2.6us,physical TTS/audio not measured,NO MATERIAL BENEFIT,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-13,SettingsLoad/ProfileLoad/MigrateRepositoryJSON,storage-bench+pprof,18us/60us/10.5us hot fixtures,cold storage and complete startup UNKNOWN,WINDOWS-RUNTIME-BLOCKED,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
EXP-14,generated contracts/version/tidy/bindings,canonical generators,original candidate,no drift; binding generator 0services vacuous,REJECT,813b96c4 except final979 on659b2c57,baseline3426tests PASS; builds for transforms; prototype functional parity NOT claimed; 9793299PASS,runtime/Go10reps;React3;bundle final byte counts; details raw,no new authority; prototypes only except one private cache,virtual transforms vanish next invocation;979 revertPR980
