number,title,base,head,baseSHA,headSHA,mergeBase,draft,mergeability,mergeState,checks,reviews,commitsAhead,files,additions,deletions,updated,issue,parent,children,stacked,patchAbsorbed,patchUnmatched,status,superseded,dependencies
977,ISA-894 · R6b retirar Hub Overlay Telemetry V1 inerte,nightly,vantareapp/isa-894-retirada-v1-r6b,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,813b96c43028353a599903fb035268c354b58896,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33829622328/job/100889644611""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33829622328/job/100889705067""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",123,170,13360,2748,2026-09-04T02:27:59Z,894,976,[],True,0,123,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
976,ISA-894 · R6a retirar productor y constructores Overlay V1,nightly,vantareapp/isa-894-retirada-v1-r6a,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,58d1e8fe7728462becde1c1b242bec15d983fd06,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33826848286/job/100881249488""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33826848286/job/100881315721""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",120,167,12989,2632,2026-09-04T01:43:33Z,894,975,[977],True,0,120,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
975,ISA-894 · R5 retirar ruta SSE publica de Overlay V1,nightly,vantareapp/isa-894-retirada-v1-r5,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,2371958d0c81e669d7f66f9c3a296d3a2ef963d9,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33821220884/job/100864116756""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33821220884/job/100864190859""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",116,132,11950,1113,2026-09-04T00:17:56Z,894,974,[976],True,0,116,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
974,ISA-894 · R4 OBS exclusivamente V2,nightly,vantareapp/isa-894-retirada-v1-r4,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,d9893379a0c19e2d39307aef957eafe3466c17b3,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33818820089/job/100856806610""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33818820089/job/100856900136""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",111,128,11713,1005,2026-09-03T23:43:29Z,894,973,[975],True,0,111,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
973,ISA-894 · R3 Studio exclusivamente V2,nightly,vantareapp/isa-894-retirada-v1-r3,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,f755a527a5380c86e1dde2e825b3615bc257fa21,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33817186177/job/100851815642""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33817186177/job/100851914706""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",107,124,11484,964,2026-09-03T23:20:38Z,894,972,[974],True,0,107,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
972,ISA-894 · R2 Desktop exclusivamente V2,nightly,vantareapp/isa-894-retirada-v1-r2,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,cc443e53ffa2ab0bf85fa62abb420fb72778bfa3,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33815740330/job/100849051085""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33815740330/job/100849119607""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",103,119,11185,902,2026-09-03T23:01:29Z,894,971,[973],True,0,103,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
971,ISA-894 · R1 pull Wails del overlay exclusivamente V2,nightly,vantareapp/isa-894-retirada-v1-r1,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,c3cb104aeba78bb5f962165283a49eb42e47798d,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33812072776/job/100838087598""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33812072776/job/100838086468""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",99,115,10969,871,2026-09-03T22:35:25Z,894,970,[972],True,0,99,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
970,"ISA-894 · R0: inventario, rollback y regresiones antes de retirar V1",nightly,vantareapp/isa-894-retirada-v1-r0,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,d687d38c7e66bef76cc91d0aec567ea16f1989a9,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33783261798/job/100742220808""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33783261798/job/100742323104""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",94,108,10664,577,2026-09-03T17:13:13Z,894,969,[971],True,0,94,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
969,ISA-962 · Cierre Endurance Redline y gates físicos,nightly,vantareapp/isa-962-redline-final-integration,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,8e8ec17b2d2b660d717316c10925a6b93d073d1c,659b2c57dc2c7fc75962cc3c8e425ed1289266ec,True,MERGEABLE,CLEAN,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33780924982/job/100734093264""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33780924982/job/100734192296""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",91,104,10052,577,2026-09-03T16:49:46Z,962,,[970],False,0,91,INCLUDED_CANDIDATE,UNKNOWN,parent + contracts/reviews; no integration authorization
933,ISA-928 · Persistir controles y avisar Spotter no disponible,nightly,vantareapp/isa-928-spotter-ui-persistencia,4b33183e22ad47d128c5d3ebb1f0d0af4fea3c61,006ad77d65a5757f45097059093b57b8e5629ee5,4b33183e22ad47d128c5d3ebb1f0d0af4fea3c61,True,CONFLICTING,DIRTY,"[{""name"": ""Validate promotion path"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33204838363/job/98963138917""}, {""name"": ""Validate Vantare blocking gates"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://github.com/isaacalbala12/Vantare-Simracing-Suite/actions/runs/33204838363/job/98963209482""}, {""name"": ""GitGuardian Security Checks"", ""conclusion"": ""SUCCESS"", ""status"": ""COMPLETED"", ""detailsUrl"": ""https://dashboard.gitguardian.com""}]","{""nodes"": [], ""pageInfo"": {""hasNextPage"": false}}",1,24,581,35,2026-08-28T19:39:33Z,928,,[],False,0,1,INDEPENDENT_PENDING,UNKNOWN,parent + contracts/reviews; no integration authorization
