variante                              vehiculos        bytes   MiB/s@10Hz   MiB/s@20Hz   MiB/s@30Hz   MiB/s@60Hz
a. overlay v1 (actual)                        1         7221        0.069        0.138        0.207        0.413
a2. engineer v1                               1         6889        0.066        0.131        0.197        0.394
a3. strategy v1                               1         1356        0.013        0.026        0.039        0.078
a4. analysis v1                               1          847        0.008        0.016        0.024        0.048
b. OverlayFrame compacto (array)              1          760        0.007        0.014        0.022        0.043
e. OverlayFrame compacto (mapa)               1          770        0.007        0.015        0.022        0.044
c. canonical/final completo                   1         6960        0.066        0.133        0.199        0.398
d1. merge-patch sobre overlay v1              1         5535        0.053        0.106        0.158        0.317
d2. merge-patch sobre compacto                1          515        0.005        0.010        0.015        0.029
a. overlay v1 (actual)                       20        55757        0.532        1.063        1.595        3.190
a2. engineer v1                              20        64876        0.619        1.237        1.856        3.712
a3. strategy v1                              20         1356        0.013        0.026        0.039        0.078
a4. analysis v1                              20          847        0.008        0.016        0.024        0.048
b. OverlayFrame compacto (array)             20         7104        0.068        0.135        0.203        0.406
e. OverlayFrame compacto (mapa)              20         7304        0.070        0.139        0.209        0.418
c. canonical/final completo                  20        60754        0.579        1.159        1.738        3.476
d1. merge-patch sobre overlay v1             20        54111        0.516        1.032        1.548        3.096
d2. merge-patch sobre compacto               20         6899        0.066        0.132        0.197        0.395
a. overlay v1 (actual)                      104       269573        2.571        5.142        7.713       15.425
a2. engineer v1                             104       320631        3.058        6.116        9.173       18.347
a3. strategy v1                             104         1356        0.013        0.026        0.039        0.078
a4. analysis v1                             104          847        0.008        0.016        0.024        0.048
b. OverlayFrame compacto (array)            104        35209        0.336        0.672        1.007        2.015
e. OverlayFrame compacto (mapa)             104        36249        0.346        0.691        1.037        2.074
c. canonical/final completo                 104       298482        2.847        5.693        8.540       17.079
d1. merge-patch sobre overlay v1            104       268079        2.557        5.113        7.670       15.340
d2. merge-patch sobre compacto              104        35156        0.335        0.671        1.006        2.012
