session_id,date_utc,track,layout,car,class,session_type,weatherconditions,duration_s,continuous_span_s,laps,source_bytes,catalog_continuous,catalog_events
S001-d607dc52,2026-04-28T19:47:19Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,1256.81,37.0,0,2273280,56,42
S002-543e9667,2026-04-28T19:48:12Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,1309.388,42.0,0,2535424,56,42
S003-9ce7fd47,2026-04-28T19:49:00Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,2194.22,888.0,8,21917696,56,42
S004-d5e4a0ae,2026-04-28T20:04:11Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,4661.78,2631.0,26,87502848,56,42
S005-ec9ddfa0,2026-04-28T20:49:28Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,4985.32,82.0,0,3764224,56,42
S006-3445803e,2026-04-28T20:51:02Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,5603.66,548.0,5,14135296,56,42
S007-c7e26fa9,2026-04-30T06:20:18Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,6998.42,871.0,8,20688896,56,42
S008-813645c1,2026-04-30T19:04:45Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,4618.552,544.0,5,13692928,56,42
S009-32ab946e,2026-04-30T19:15:37Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,5814.74,702.0,6,16232448,56,42
S010-f7ed7f18,2026-04-30T19:27:32Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,5985.3,14.0,0,1683456,56,42
S011-6d5a3e38,2026-04-30T19:30:10Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,6474.06,633.0,5,15659008,56,42
S012-382d87f0,2026-04-30T19:40:56Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,7012.7,279.0,2,8744960,56,42
S013-95b9af49,2026-04-30T19:47:57Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,2527.32,1150.0,11,26324992,56,42
S014-ff10a95e,2026-05-02T12:26:08Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,3939.34,276.0,2,8237056,56,42
S015-b02e590c,2026-05-02T12:34:16Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,2779.52,852.0,8,20983808,56,42
S016-ab73fbb7,2026-05-02T13:39:59Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,8194.62,2338.0,23,54079488,56,42
S017-5671517d,2026-05-02T14:21:52Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,1696.17,266.0,2,8286208,56,42
S018-d95fd2bd,2026-05-02T14:28:57Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,2547.32,636.0,6,15282176,56,42
S019-5af7583b,2026-05-02T14:39:59Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,3218.08,495.0,4,12988416,56,42
S020-bac8632d,2026-05-02T14:48:41Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,3628.42,465.0,4,11988992,56,42
S021-26196eaf,2026-05-02T14:56:41Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,4305.0,531.0,5,13676544,56,42
S022-bae9ee9e,2026-05-02T15:05:44Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Clear,4763.02,540.0,5,13824000,56,42
S023-81015818,2026-05-02T15:45:03Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,2468.7,545.0,5,13791232,56,42
S024-2fe4e6a1,2026-05-02T16:07:33Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Qualify,Mostly Cloudy,748.06,656.0,6,15724544,56,42
S025-06d5144b,2026-05-02T17:37:55Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Mostly Cloudy,8598.58,738.0,7,16920576,56,42
S026-08a1e626,2026-05-02T18:05:21Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Race,Light Clouds,12158.9,6037.0,60,166162432,56,42
S027-7b4506d1,2026-05-02T23:13:04Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,609.43,81.0,0,3633152,56,42
S028-95f14e69,2026-05-02T23:14:35Z,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Genesis Custom Team 2026 #397,Hyper,Practice,Light Clouds,700.355,193.0,1,6811648,56,42
S029-c16cac23,2026-05-06T19:41:46Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Mostly Cloudy,2277.85,4.0,0,1601536,56,42
S030-e11b6ff2,2026-05-06T19:42:09Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Mostly Cloudy,2300.698,28.0,0,2043904,56,42
S031-cabbb179,2026-05-06T19:43:49Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Mostly Cloudy,2403.495,664.0,7,15675392,56,42
S032-4145309e,2026-05-06T20:00:46Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Overcast,3416.995,165.0,1,5369856,56,42
S033-1f7a7aca,2026-05-06T20:03:42Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Overcast,4672.84,1130.0,11,28094464,56,42
S034-ee577d60,2026-05-06T20:22:50Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Overcast,4741.128,26.0,0,1978368,56,42
S035-2901ad7c,2026-05-07T19:04:43Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Overcast,3916.025,58.0,0,2928640,56,42
S036-a52f7bfb,2026-05-07T19:05:48Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Overcast,3980.97,23.0,0,1961984,56,42
S037-807b3e54,2026-05-07T19:06:17Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Overcast,4010.015,206.0,1,6483968,56,42
S038-751e026d,2026-05-07T19:09:53Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Overcast,4226.253,63.0,0,3158016,56,42
S039-8c2ccffd,2026-05-07T19:11:03Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Overcast,5867.4,1786.0,18,46739456,56,42
S040-3ebe91db,2026-05-07T19:43:02Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Cloudy & Drizzle,7668.2,1464.0,15,33746944,56,42
S041-5b86319c,2026-05-08T15:50:38Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #10:LGC,GT3,Practice,Clear,273.48,141.0,0,5206016,56,42
S042-381eda74,2026-05-08T15:54:54Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #10:LGC,GT3,Practice,Light Clouds,529.17,341.0,2,8777728,56,42
S043-3885c392,2026-05-08T16:03:55Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #10:LGC,GT3,Qualify,Clear,76.86,21.0,0,1896448,56,42
S044-a4acffcf,2026-05-08T16:04:24Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #10:LGC,GT3,Qualify,Clear,399.22,326.0,2,8548352,56,42
S045-ac539faa,2026-05-08T16:11:00Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #10:LGC,GT3,Race,Clear,1399.66,1380.0,9,29995008,56,42
S046-9870f713,2026-05-08T16:37:54Z,Paul Ricard Circuit,Paul Ricard - 1A-V2,CLX Motorsport #47:ELMS25,LMP2_ELMS,Practice,Mostly Cloudy,1010.16,807.0,7,20246528,56,42
S047-42e1ee37,2026-05-08T16:53:24Z,Paul Ricard Circuit,Paul Ricard - 1A-V2,CLX Motorsport #47:ELMS25,LMP2_ELMS,Qualify,Mostly Cloudy,610.66,582.0,5,14299136,56,42
S048-808922ec,2026-05-08T17:03:57Z,Paul Ricard Circuit,Paul Ricard - 1A-V2,CLX Motorsport #47:ELMS25,LMP2_ELMS,Race,Mostly Cloudy,1983.38,1937.0,17,47263744,56,42
S049-56747c2a,2026-05-08T17:41:36Z,Circuit de la Sarthe,Circuit de la Sarthe Mulsanne,The Bend Team WRT 2025 #31:LM,GT3,Practice,Light Clouds,93.802,65.0,0,3141632,56,42
S050-47f4178d,2026-05-08T17:43:01Z,Circuit de la Sarthe,Circuit de la Sarthe Mulsanne,The Bend Team WRT 2025 #31:LM,GT3,Qualify,Light Clouds,496.88,492.0,2,11481088,56,42
S051-ab3eadcd,2026-05-08T17:52:14Z,Circuit de la Sarthe,Circuit de la Sarthe Mulsanne,The Bend Team WRT 2025 #31:LM,GT3,Race,Light Clouds,1531.22,1483.0,6,30027776,56,42
S052-ae213966,2026-05-08T18:21:00Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #22:ELMS25,LMP2_ELMS,Practice,Light Clouds,789.48,543.0,4,13348864,56,42
S053-3ff82ac6,2026-05-08T18:33:10Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #22:ELMS25,LMP2_ELMS,Qualify,Partially Cloudy,539.0,539.0,4,13660160,56,42
S054-18d4626a,2026-05-08T18:43:31Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #22:ELMS25,LMP2_ELMS,Race,Light Clouds,20.405,2.0,0,1388544,56,42
S055-bfa2026d,2026-05-08T18:44:04Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #22:ELMS25,LMP2_ELMS,Race,Light Clouds,668.96,662.0,4,16297984,56,42
S056-2220afec,2026-05-10T17:07:20Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Partially Cloudy,8935.82,513.0,5,12955648,56,42
S057-1e36328a,2026-05-10T17:25:25Z,Autódromo José Carlos Pace,Autódromo José Carlos Pace,Genesis Custom Team 2026 #397,Hyper,Practice,Partially Cloudy,494.0,494.0,5,12644352,56,42
S058-635a8fc5,2026-05-11T15:35:30Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #21:ELMS25,LMP2_ELMS,Qualify,Partially Cloudy,572.96,454.0,3,11563008,56,42
S059-e4f6b210,2026-05-11T15:43:49Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #21:ELMS25,LMP2_ELMS,Race,Light Clouds,2099.9,2054.0,15,49721344,56,42
S060-838b02e2,2026-05-11T16:21:22Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #21:ELMS25,LMP2_ELMS,Practice,Light Clouds,684.84,531.0,3,13053952,56,42
S061-0c03a846,2026-05-11T16:33:21Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #21:ELMS25,LMP2_ELMS,Qualify,Partially Cloudy,442.76,418.0,3,10956800,56,42
S062-0df9b303,2026-05-11T16:44:11Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,United Autosports #21:ELMS25,LMP2_ELMS,Race,Light Clouds,2058.54,2005.0,15,48345088,56,42
S063-13479af0,2026-05-11T17:23:03Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #2:LGC,GT3,Qualify,Clear,94.0,94.0,0,4124672,56,42
S064-6706227a,2026-05-11T17:24:42Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #2:LGC,GT3,Qualify,Clear,419.36,302.0,2,7925760,56,42
S065-3a812691,2026-05-11T17:30:34Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #2:LGC,GT3,Race,Clear,5.99,2.0,0,1404928,56,42
S066-c90d775c,2026-05-11T17:30:43Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #2:LGC,GT3,Race,Clear,14.98,1.0,0,1372160,56,42
S067-3cbfa24b,2026-05-11T17:31:01Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Logitech G Challenge #2:LGC,GT3,Race,Clear,1371.0,1371.0,9,30060544,56,42
S068-84d6933e,2026-05-11T18:04:41Z,Silverstone Circuit,Silverstone International Circuit,Proton Competition 2025 #88:LM,GT3,Practice,Light Clouds,978.52,387.0,5,10547200,56,42
S069-83cd6dca,2026-05-11T18:12:56Z,Silverstone Circuit,Silverstone International Circuit,Proton Competition 2025 #88:LM,GT3,Qualify,Partially Cloudy,558.0,558.0,8,14233600,56,42
S070-b97f32fa,2026-05-11T18:22:58Z,Silverstone Circuit,Silverstone International Circuit,Proton Competition 2025 #88:LM,GT3,Race,Partially Cloudy,739.0,739.0,9,16871424,56,42
S071-0042ac66,2026-05-13T15:31:12Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,IDEC Sport #28:ELMS25,LMP2_ELMS,Practice,Light Clouds,72.43,63.0,0,3125248,56,42
S072-1ea37c8d,2026-05-13T15:32:21Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,IDEC Sport #28:ELMS25,LMP2_ELMS,Practice,Light Clouds,140.23,17.0,0,1716224,56,42
S073-b4626405,2026-05-13T15:32:54Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,IDEC Sport #28:ELMS25,LMP2_ELMS,Qualify,Light Clouds,526.66,521.0,4,13627392,56,42
