"candidate","scenario","repetitions","records","range_records","payload_bytes","file_bytes","storage_ratio","first_write_ns","first_full_scan_ns","first_range_query_ns","first_last_cursor_ns","subsequent_repetitions","subsequent_write_min_ns","subsequent_write_median_ns","subsequent_write_max_ns","subsequent_full_scan_median_ns","subsequent_range_query_median_ns","subsequent_last_cursor_median_ns","subsequent_median_records_per_s","subsequent_median_payload_mib_per_s"
"framing","facts_burst","5","2400","242","2688000","2793600","1.0393","8071300","4918500","3309800","3370300","4","7054400","7324050","14068600","5055650","2752950","2485150","327687.55","350.01"
"framing","four_x","5","5040","505","10022400","10244160","1.0221","15400200","18975800","7598900","8578400","4","18662000","19249750","20264000","14595950","9868400","5803200","261821.58","496.53"
"framing","logical_24h","1","87840","8785","179942400","183807360","1.0215","273924200","288891100","170948600","136945900","0","","","","","","","",""
"framing","nominal","5","1260","127","2505600","2561040","1.0221","10395500","2784700","1132100","1705100","4","5250700","8268200","9281400","3139700","3389450","1755250","152391.09","289"
"mcap","facts_burst","5","2400","242","2688000","2801489","1.0422","13921100","5846800","5814300","2900800","4","10453500","11375000","14777800","5657650","2726050","3806150","210989.01","225.36"
"mcap","four_x","5","5040","505","10022400","10260313","1.0237","23992800","22804000","3352300","1095300","4","21442000","24079450","25009300","20282000","3813700","1688300","209307.11","396.94"
"mcap","logical_24h","1","87840","8785","179942400","184078965","1.023","339819000","380202600","45150900","1760900","0","","","","","","","",""
"mcap","nominal","5","1260","127","2505600","2565509","1.0239","8259200","5493400","2599600","1117300","4","7018800","8313050","9588000","5647800","1503800","1271750","151568.92","287.44"
"sqlite","facts_burst","5","2400","242","2688000","5087232","1.8926","83486300","32897800","6335600","2258000","4","82834100","89332500","193757700","36169500","4663350","2003950","26865.92","28.7"
"sqlite","four_x","5","5040","505","10022400","20021248","1.9977","267703000","105742300","12542900","1005800","4","212552200","235770700","237600600","95160150","8924850","1875150","21376.7","40.54"
"sqlite","logical_24h","1","87840","8785","179942400","360239104","2.002","4995872900","2103465100","196301000","3874700","0","","","","","","","",""
"sqlite","nominal","5","1260","127","2505600","5021696","2.0042","70117700","39070400","3570200","2246700","4","70202100","74285550","92184100","32971000","5749700","1920750","16961.58","32.17"
