candidate,scenario,repetition,run_class,goos,goarch,status,error,records,observed,facts,payload_bytes,file_bytes,write_ns,full_scan_ns,range_records,range_query_ns,last_cursor_ns,last_epoch,last_sequence,payload_sha256
framing,facts_burst,1,first,windows,amd64,PASS,,2400,1200,1200,2688000,2793600,8071300,4918500,242,3309800,3370300,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
framing,facts_burst,2,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,2793600,7559200,5528100,242,3561700,2243000,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
framing,facts_burst,3,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,2793600,7088900,5539800,242,2205400,2727300,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
framing,facts_burst,4,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,2793600,7054400,4583200,242,2198800,1767900,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
framing,facts_burst,5,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,2793600,14068600,4008000,242,3300500,3766600,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
framing,four_x,1,first,windows,amd64,PASS,,5040,4800,240,10022400,10244160,15400200,18975800,505,7598900,8578400,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
framing,four_x,2,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,10244160,18786000,16645700,505,7714100,8316800,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
framing,four_x,3,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,10244160,20264000,15143700,505,10494600,4864800,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
framing,four_x,4,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,10244160,19713500,12671400,505,9837600,5417300,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
framing,four_x,5,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,10244160,18662000,14048200,505,9899200,6189100,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
framing,logical_24h,1,first,windows,amd64,PASS,,87840,86400,1440,179942400,183807360,273924200,288891100,8785,170948600,136945900,7,87840,b99f1908c2544638eb3b09e0a3c3eb4c9ffe198f6aa561911d73324ce83d5478
framing,nominal,1,first,windows,amd64,PASS,,1260,1200,60,2505600,2561040,10395500,2784700,127,1132100,1705100,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
framing,nominal,2,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,2561040,9281400,3267500,127,4782500,2011300,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
framing,nominal,3,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,2561040,5250700,3011900,127,3007700,1499100,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
framing,nominal,4,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,2561040,7524800,3001100,127,2519900,2506900,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
framing,nominal,5,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,2561040,9011600,4013300,127,3771200,1499200,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
