"candidate","module","version","detected_license","license_files","license_sha256"
"sqlite","github.com/dustin/go-humanize","v1.0.1","MIT","LICENSE","LICENSE:a973b4498c13eb74baa2a8e5c351426a6826f2fcdd909916dbe53ee2e755fd71"
"sqlite","github.com/mattn/go-isatty","v0.0.20","MIT","LICENSE","LICENSE:08eab1118c80885fa1fa6a6dd7303f65a379fcb3733e063d20d1bbc2c76e6fa1"
"sqlite","github.com/ncruces/go-strftime","v1.0.0","MIT","LICENSE","LICENSE:38ae43959daf953a393a585b2988672cb65a5a541aca0d0be5e72595a0a16883"
"sqlite","github.com/remyoudompheng/bigfft","v0.0.0-20230129092748-24d4a6f8daec","BSD-3-Clause","LICENSE","LICENSE:dd26a7abddd02e2d0aba97805b31f248ef7835d9e10da289b22e3b8ab78b324d"
"sqlite","golang.org/x/sys","v0.46.0","BSD-3-Clause","LICENSE","LICENSE:911f8f5782931320f5b8d1160a76365b83aea6447ee6c04fa6d5591467db9dad"
"sqlite","modernc.org/libc","v1.74.1","BSD-3-Clause","LICENSE","LICENSE:95ff867eb55a56935fa7492406cfa953fb7c13ca73f4c0a86ae05756b4605600"
"sqlite","modernc.org/mathutil","v1.7.1","BSD-3-Clause","LICENSE","LICENSE:bfa9bf72a72ca009fd62a8f84fca3dca67e51d93af96352723646599898b6cf5"
"sqlite","modernc.org/memory","v1.11.0","BSD-3-Clause","LICENSE","LICENSE:59895e669f48f168b6b858358f6005779cdf40a265f7828813061b56af67b496"
"sqlite","modernc.org/sqlite","v1.55.0","BSD-3-Clause+Public-Domain","LICENSE+SQLITE-LICENSE","LICENSE:c6fe05491a60ae13bcd223088d2705e36dede24e5587226231d2459ada5c4822+SQLITE-LICENSE:8438c9c89b849131ead81d5435cb97fcf052df5b0b286dda8a2d4c29e6cb3fd0"
"mcap","github.com/davecgh/go-spew","v1.1.2-0.20180830191138-d8f796af33cc","ISC","LICENSE","LICENSE:1b93a317849ee09d3d7e4f1d20c2b78ddb230b4becb12d7c224c927b9d470251"
"mcap","github.com/foxglove/mcap/go/mcap","v1.9.0","MIT","LICENSE","LICENSE:da11235665c17d4c1634072dae92b8ba1b38d6fdde2ccf19a6bbede33253f58d"
"mcap","github.com/klauspost/compress","v1.18.3","Apache-2.0","LICENSE","LICENSE:0d9e582ee4bff57bf1189c9e514e6da7ce277f9cd3bc2d488b22fbb39a6d87cf"
"mcap","github.com/pierrec/lz4/v4","v4.1.25","BSD-3-Clause","LICENSE","LICENSE:6a358d2540ca14048f02d366f23787c0a480157e58f058113f0e27168dd4e447"
"mcap","github.com/pmezard/go-difflib","v1.0.1-0.20181226105442-5d4384ee4fb2","BSD-family","LICENSE","LICENSE:2eb550be6801c1ea434feba53bf6d12e7c71c90253e0a9de4a4f46cf88b56477"
"mcap","github.com/stretchr/testify","v1.11.1","MIT","LICENSE","LICENSE:f8e536c1c7b695810427095dc85f5f80d44ff7c10535e8a9486cf393e2599189"
"mcap","gopkg.in/yaml.v3","v3.0.1","MIT+Apache-2.0","LICENSE+NOTICE","LICENSE:d18f6323b71b0b768bb5e9616e36da390fbd39369a81807cca352de4e4e6aa0b+NOTICE:f6c2dd3a67b576eafb89b80200b8b1627230bf3821a0c14cb99a22ac19107d00"
"duckdb","github.com/duckdb/duckdb-go-bindings","v0.10505.0","MIT","LICENSE","LICENSE:075c33400ffcb0c586dd106a029d3e733e9da3693f8fcb9cebfc651c8a2f14e3"
"duckdb","github.com/duckdb/duckdb-go-bindings/lib/windows-amd64","v0.10505.0","MIT","LICENSE","LICENSE:075c33400ffcb0c586dd106a029d3e733e9da3693f8fcb9cebfc651c8a2f14e3"
"duckdb","github.com/duckdb/duckdb-go/v2","v2.10505.0","MIT","LICENSE","LICENSE:1c80811fb9a8e4f9ec842a2573d118f56605b757f8fa40940f26ae4c495ffaae"
"duckdb","github.com/go-viper/mapstructure/v2","v2.5.0","MIT","LICENSE","LICENSE:22adc4abdece712a737573672f082fd61ac2b21df878efb87ffcff4354a07f26"
"duckdb","github.com/google/uuid","v1.6.0","BSD-3-Clause","LICENSE","LICENSE:0a8d61ed3cbfd5312326e8126c31ce9c627a283adc99131b56896d29ada04b2d"
