candidate,scenario,repetition,run_class,goos,goarch,status,error,records,observed,facts,payload_bytes,file_bytes,write_ns,full_scan_ns,range_records,range_query_ns,last_cursor_ns,last_epoch,last_sequence,payload_sha256
mcap,facts_burst,1,first,windows,amd64,PASS,,2400,1200,1200,2688000,2801489,13921100,5846800,242,5814300,2900800,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
mcap,facts_burst,2,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,2801489,14777800,4895700,242,2699900,5092900,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
mcap,facts_burst,3,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,2801489,10453500,6419600,242,2752200,1640500,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
mcap,facts_burst,4,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,2801489,12206900,3751100,242,3263400,5814200,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
mcap,facts_burst,5,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,2801489,10543100,8595300,242,2253200,2519400,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
mcap,four_x,1,first,windows,amd64,PASS,,5040,4800,240,10022400,10260313,23992800,22804000,505,3352300,1095300,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
mcap,four_x,2,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,10260313,24448300,21398900,505,3837400,1613300,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
mcap,four_x,3,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,10260313,23710600,19513600,505,6056800,536200,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
mcap,four_x,4,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,10260313,25009300,21050400,505,3790000,1779100,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
mcap,four_x,5,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,10260313,21442000,18185100,505,3000100,1763300,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
mcap,logical_24h,1,first,windows,amd64,PASS,,87840,86400,1440,179942400,184078965,339819000,380202600,8785,45150900,1760900,7,87840,b99f1908c2544638eb3b09e0a3c3eb4c9ffe198f6aa561911d73324ce83d5478
mcap,nominal,1,first,windows,amd64,PASS,,1260,1200,60,2505600,2565509,8259200,5493400,127,2599600,1117300,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
mcap,nominal,2,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,2565509,8327100,5785100,127,1501100,1762100,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
mcap,nominal,3,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,2565509,8299000,5510500,127,1758600,1033300,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
mcap,nominal,4,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,2565509,7018800,6588700,127,1503200,748100,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
mcap,nominal,5,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,2565509,9588000,4311200,127,1504400,1510200,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
