candidate,scenario,repetition,run_class,goos,goarch,status,error,records,observed,facts,payload_bytes,file_bytes,write_ns,full_scan_ns,range_records,range_query_ns,last_cursor_ns,last_epoch,last_sequence,payload_sha256
sqlite,facts_burst,1,first,windows,amd64,PASS,,2400,1200,1200,2688000,5087232,83486300,32897800,242,6335600,2258000,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
sqlite,facts_burst,2,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,5087232,82834100,34673700,242,5520100,2506600,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
sqlite,facts_burst,3,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,5087232,90825700,37370800,242,3263600,3013600,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
sqlite,facts_burst,4,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,5087232,87839300,36713400,242,5312900,1501300,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
sqlite,facts_burst,5,subsequent,windows,amd64,PASS,,2400,1200,1200,2688000,5087232,193757700,35625600,242,4013800,749700,7,2400,e9038dcbf4ef08c2d40993bb8b3f358502818495cf79f3329cd061f59fc83349
sqlite,four_x,1,first,windows,amd64,PASS,,5040,4800,240,10022400,20021248,267703000,105742300,505,12542900,1005800,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
sqlite,four_x,2,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,20021248,236437800,95272100,505,7130600,2260300,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
sqlite,four_x,3,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,20021248,235103600,95048200,505,9066100,2246700,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
sqlite,four_x,4,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,20021248,212552200,86256100,505,8783600,1499200,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
sqlite,four_x,5,subsequent,windows,amd64,PASS,,5040,4800,240,10022400,20021248,237600600,95955800,505,11053700,1503600,7,5040,d4b702b953fc730e528f2d0a0fdb4081d88131583196d319e346534a9727fcfe
sqlite,logical_24h,1,first,windows,amd64,PASS,,87840,86400,1440,179942400,360239104,4995872900,2103465100,8785,196301000,3874700,7,87840,b99f1908c2544638eb3b09e0a3c3eb4c9ffe198f6aa561911d73324ce83d5478
sqlite,nominal,1,first,windows,amd64,PASS,,1260,1200,60,2505600,5021696,70117700,39070400,127,3570200,2246700,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
sqlite,nominal,2,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,5021696,73284400,28729300,127,3855000,1585100,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
sqlite,nominal,3,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,5021696,70202100,36004400,127,3054800,1498900,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
sqlite,nominal,4,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,5021696,75286700,32007800,127,7644400,2256400,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
sqlite,nominal,5,subsequent,windows,amd64,PASS,,1260,1200,60,2505600,5021696,92184100,33934200,127,7834600,2330500,7,1260,82e4d1f67d7aac2bfeb6ae9ba004b2ecdab11a06b6b5e2c3f9a5ff126a5aa8d9
