"Round","Variant","CPUSeconds","PeakWorkingSetBytes","Benchmark"
"1","Go","7,296875","36384768","BenchmarkLMUParserGo-16    	  200000	     29276 ns/op	   32095 B/op	     151 allocs/op"
"1","GoFixed","7,015625","32456704","BenchmarkLMUParserGoFixed-16    	  200000	     27163 ns/op	   30397 B/op	     146 allocs/op"
"1","RustGrid","6,265625","16969728","BenchmarkLMUParserRustGrid-16    	  200000	     25582 ns/op	   30421 B/op	     147 allocs/op"
"1","RustGrid","7,828125","29962240","BenchmarkLMUParserRustGrid-16    	  200000	     31525 ns/op	   30422 B/op	     147 allocs/op"
"1","GoFixed","7,953125","30552064","BenchmarkLMUParserGoFixed-16    	  200000	     30866 ns/op	   30398 B/op	     146 allocs/op"
"1","Go","7,875","28200960","BenchmarkLMUParserGo-16    	  200000	     31541 ns/op	   32096 B/op	     151 allocs/op"
"2","Go","7,84375","30519296","BenchmarkLMUParserGo-16    	  200000	     31701 ns/op	   32096 B/op	     151 allocs/op"
"2","GoFixed","6,546875","30158848","BenchmarkLMUParserGoFixed-16    	  200000	     28039 ns/op	   30398 B/op	     146 allocs/op"
"2","RustGrid","6,796875","16883712","BenchmarkLMUParserRustGrid-16    	  200000	     26240 ns/op	   30422 B/op	     147 allocs/op"
"2","RustGrid","6,875","17182720","BenchmarkLMUParserRustGrid-16    	  200000	     26806 ns/op	   30422 B/op	     147 allocs/op"
"2","GoFixed","8,5625","29540352","BenchmarkLMUParserGoFixed-16    	  200000	     35672 ns/op	   30398 B/op	     146 allocs/op"
"2","Go","9,03125","25976832","BenchmarkLMUParserGo-16    	  200000	     33900 ns/op	   32096 B/op	     151 allocs/op"
"3","Go","7,609375","31174656","BenchmarkLMUParserGo-16    	  200000	     30830 ns/op	   32095 B/op	     151 allocs/op"
"3","GoFixed","7,09375","29831168","BenchmarkLMUParserGoFixed-16    	  200000	     28877 ns/op	   30397 B/op	     146 allocs/op"
"3","RustGrid","6,8125","17121280","BenchmarkLMUParserRustGrid-16    	  200000	     26901 ns/op	   30422 B/op	     147 allocs/op"
"3","RustGrid","7,484375","17436672","BenchmarkLMUParserRustGrid-16    	  200000	     28495 ns/op	   30421 B/op	     147 allocs/op"
"3","GoFixed","8,671875","32501760","BenchmarkLMUParserGoFixed-16    	  200000	     38091 ns/op	   30397 B/op	     146 allocs/op"
"3","Go","8,84375","30720000","BenchmarkLMUParserGo-16    	  200000	     35383 ns/op	   32096 B/op	     151 allocs/op"
