"Round","Variant","CPUSeconds","PeakWorkingSetBytes","Benchmark"
"1","Go","3,3125","18563072","BenchmarkLMUCStringsGo-16    	  300000	     10117 ns/op	    2848 B/op	     141 allocs/op"
"1","RustFFI","2,34375","16928768","BenchmarkLMUCStringsRustFFI-16    	  300000	      6805 ns/op	    2488 B/op	     134 allocs/op"
"1","RustFFI","2,21875","16683008","BenchmarkLMUCStringsRustFFI-16    	  300000	      6734 ns/op	    2488 B/op	     134 allocs/op"
"1","Go","3,40625","18546688","BenchmarkLMUCStringsGo-16    	  300000	     10446 ns/op	    2848 B/op	     141 allocs/op"
"2","Go","3,3125","16822272","BenchmarkLMUCStringsGo-16    	  300000	     10890 ns/op	    2848 B/op	     141 allocs/op"
"2","RustFFI","2,453125","16654336","BenchmarkLMUCStringsRustFFI-16    	  300000	      7225 ns/op	    2488 B/op	     134 allocs/op"
"2","RustFFI","2,265625","17006592","BenchmarkLMUCStringsRustFFI-16    	  300000	      7001 ns/op	    2488 B/op	     134 allocs/op"
"2","Go","3,453125","16478208","BenchmarkLMUCStringsGo-16    	  300000	     10333 ns/op	    2848 B/op	     141 allocs/op"
"3","Go","3,734375","17244160","BenchmarkLMUCStringsGo-16    	  300000	     11836 ns/op	    2848 B/op	     141 allocs/op"
"3","RustFFI","2,421875","16683008","BenchmarkLMUCStringsRustFFI-16    	  300000	      6998 ns/op	    2488 B/op	     134 allocs/op"
"3","RustFFI","2,125","17219584","BenchmarkLMUCStringsRustFFI-16    	  300000	      6512 ns/op	    2488 B/op	     134 allocs/op"
"3","Go","3,125","16949248","BenchmarkLMUCStringsGo-16    	  300000	      9992 ns/op	    2848 B/op	     141 allocs/op"
