lapDistance,latitude,longitude
0.00,60.0031500,0.0044271
0.00,60.0031360,0.0044106
0.00,60.0031240,0.0043941
0.00,60.0031130,0.0043776
0.00,60.0031000,0.0043609
0.00,60.0030860,0.0043436
0.00,60.0030750,0.0043256
0.00,60.0030600,0.0043068
0.00,60.0030440,0.0042873
0.00,60.0030300,0.0042669
0.00,60.0030140,0.0042458
0.00,60.0029950,0.0042237
0.00,60.0029800,0.0042007
0.00,60.0029600,0.0041768
0.00,60.0029400,0.0041519
0.00,60.0029220,0.0041261
0.00,60.0029030,0.0040995
0.00,60.0028840,0.0040720
0.00,60.0028600,0.0040437
0.00,60.0028420,0.0040146
0.00,60.0028200,0.0039845
0.00,60.0027960,0.0039534
0.00,60.0027700,0.0039214
0.00,60.0027470,0.0038883
0.00,60.0027200,0.0038541
0.00,60.0026970,0.0038185
0.00,60.0026700,0.0037818
0.00,60.0026440,0.0037440
0.00,60.0026170,0.0037052
0.00,60.0025900,0.0036654
0.00,60.0025630,0.0036249
0.00,60.0025330,0.0035836
0.00,60.0025060,0.0035415
0.00,60.0024760,0.0034988
0.00,60.0024450,0.0034553
0.00,60.0024200,0.0034114
0.00,60.0023880,0.0033671
0.00,60.0023540,0.0033224
0.00,60.0023230,0.0032773
0.00,60.0022930,0.0032318
3.15,60.0022600,0.0031861
7.67,60.0022240,0.0031402
12.26,60.0021900,0.0030939
16.91,60.0021550,0.0030474
21.63,60.0021200,0.0030006
26.40,60.0020830,0.0029535
31.22,60.0020500,0.0029061
36.09,60.0020100,0.0028585
41.01,60.0019720,0.0028106
45.98,60.0019340,0.0027624
51.01,60.0018960,0.0027138
56.09,60.0018580,0.0026648
61.22,60.0018200,0.0026152
66.40,60.0017800,0.0025650
71.63,60.0017400,0.0025141
76.92,60.0017000,0.0024629
82.25,60.0016600,0.0024114
87.63,60.0016200,0.0023594
93.06,60.0015800,0.0023071
98.54,60.0015370,0.0022545
104.06,60.0014950,0.0022017
109.63,60.0014530,0.0021486
115.24,60.0014100,0.0020952
120.87,60.0013660,0.0020417
126.53,60.0013240,0.0019882
132.23,60.0012780,0.0019343
137.97,60.0012360,0.0018800
143.76,60.0011900,0.0018255
149.58,60.0011500,0.0017706
155.44,60.0011020,0.0017152
161.35,60.0010570,0.0016593
167.29,60.0010100,0.0016028
173.27,60.0009650,0.0015457
179.28,60.0009200,0.0014882
185.34,60.0008740,0.0014301
191.43,60.0008280,0.0013715
197.56,60.0007820,0.0013124
203.72,60.0007360,0.0012528
209.92,60.0006870,0.0011928
216.16,60.0006400,0.0011325
222.43,60.0005900,0.0010722
228.72,60.0005460,0.0010119
235.03,60.0004960,0.0009513
241.38,60.0004500,0.0008903
247.76,60.0004000,0.0008291
254.17,60.0003500,0.0007677
260.61,60.0003000,0.0007060
267.08,60.0002500,0.0006441
273.58,60.0002020,0.0005820
280.10,60.0001530,0.0005198
286.66,60.0001030,0.0004573
293.24,60.0000530,0.0003947
299.86,60.0000040,0.0003319
306.50,59.9999500,0.0002689
313.17,59.9999000,0.0002056
319.86,59.9998500,0.0001420
326.58,59.9997980,0.0000781
333.33,59.9997500,0.0000140
340.11,59.9996950,-0.0000503
346.91,59.9996400,-0.0001148
353.74,59.9995900,-0.0001794
360.59,59.9995400,-0.0002443
367.46,59.9994850,-0.0003095
374.37,59.9994300,-0.0003754
381.30,59.9993820,-0.0004417
388.25,59.9993300,-0.0005085
395.24,59.9992750,-0.0005755
402.24,59.9992200,-0.0006426
409.27,59.9991700,-0.0007100
416.32,59.9991150,-0.0007774
423.40,59.9990600,-0.0008449
430.50,59.9990040,-0.0009125
437.62,59.9989500,-0.0009801
444.75,59.9988980,-0.0010477
451.91,59.9988400,-0.0011154
459.08,59.9987870,-0.0011833
466.28,59.9987340,-0.0012513
473.49,59.9986760,-0.0013195
480.73,59.9986230,-0.0013877
487.99,59.9985660,-0.0014558
495.28,59.9985100,-0.0015239
502.58,59.9984550,-0.0015920
509.90,59.9983980,-0.0016603
517.23,59.9983400,-0.0017291
524.59,59.9982830,-0.0017984
531.97,59.9982300,-0.0018681
539.37,59.9981730,-0.0019384
546.79,59.9981160,-0.0020092
554.22,59.9980600,-0.0020806
561.67,59.9980000,-0.0021525
569.13,59.9979480,-0.0022247
576.61,59.9978900,-0.0022972
584.11,59.9978330,-0.0023699
591.61,59.9977760,-0.0024430
599.14,59.9977200,-0.0025165
606.69,59.9976600,-0.0025906
614.26,59.9976040,-0.0026653
621.85,59.9975470,-0.0027402
629.45,59.9974900,-0.0028146
637.06,59.9974330,-0.0028887
644.70,59.9973750,-0.0029624
652.30,59.9973200,-0.0030353
659.79,59.9972600,-0.0031070
667.15,59.9972040,-0.0031773
674.36,59.9971500,-0.0032464
681.44,59.9970970,-0.0033143
688.37,59.9970440,-0.0033810
695.17,59.9969900,-0.0034464
701.84,59.9969400,-0.0035106
708.42,59.9968900,-0.0035738
714.90,59.9968400,-0.0036362
721.29,59.9967900,-0.0036976
727.53,59.9967460,-0.0037578
733.61,59.9967000,-0.0038166
739.51,59.9966550,-0.0038739
745.20,59.9966130,-0.0039296
750.70,59.9965700,-0.0039835
755.99,59.9965300,-0.0040355
761.12,59.9964900,-0.0040860
766.09,59.9964560,-0.0041350
770.93,59.9964180,-0.0041826
775.62,59.9963840,-0.0042289
780.15,59.9963500,-0.0042740
784.52,59.9963150,-0.0043179
788.73,59.9962840,-0.0043607
792.77,59.9962540,-0.0044023
796.64,59.9962270,-0.0044429
800.35,59.9962000,-0.0044828
803.93,59.9961740,-0.0045225
807.31,59.9961500,-0.0045620
810.45,59.9961280,-0.0046013
813.68,59.9961050,-0.0046408
816.59,59.9960860,-0.0046806
819.77,59.9960670,-0.0047207
822.54,59.9960440,-0.0047610
825.17,59.9960300,-0.0048017
828.12,59.9960100,-0.0048430
830.55,59.9959950,-0.0048848
833.35,59.9959830,-0.0049271
835.57,59.9959680,-0.0049697
838.23,59.9959600,-0.0050127
840.29,59.9959500,-0.0050562
842.88,59.9959400,-0.0051005
844.89,59.9959340,-0.0051458
847.51,59.9959300,-0.0051920
849.50,59.9959260,-0.0052391
852.16,59.9959220,-0.0052870
854.86,59.9959220,-0.0053357
856.83,59.9959220,-0.0053851
859.60,59.9959220,-0.0054351
861.56,59.9959220,-0.0054856
864.39,59.9959260,-0.0055366
866.37,59.9959300,-0.0055878
869.25,59.9959370,-0.0056392
871.22,59.9959400,-0.0056906
874.17,59.9959500,-0.0057423
876.38,59.9959600,-0.0057941
879.38,59.9959680,-0.0058459
882.25,59.9959800,-0.0058979
885.38,59.9959900,-0.0059501
888.73,59.9960020,-0.0060028
892.07,59.9960140,-0.0060564
895.35,59.9960250,-0.0061112
898.77,59.9960370,-0.0061674
902.34,59.9960480,-0.0062247
905.67,59.9960560,-0.0062827
909.51,59.9960630,-0.0063409
913.97,59.9960700,-0.0063991
918.92,59.9960750,-0.0064573
923.84,59.9960800,-0.0065153
928.56,59.9960820,-0.0065732
933.10,59.9960820,-0.0066310
937.50,59.9960800,-0.0066889
941.84,59.9960800,-0.0067469
946.21,59.9960750,-0.0068051
950.63,59.9960700,-0.0068637
955.17,59.9960630,-0.0069227
959.95,59.9960560,-0.0069818
964.79,59.9960480,-0.0070410
969.32,59.9960370,-0.0071005
972.80,59.9960250,-0.0071600
976.96,59.9960140,-0.0072196
980.83,59.9960000,-0.0072794
984.50,59.9959830,-0.0073394
988.29,59.9959680,-0.0073996
992.14,59.9959530,-0.0074599
996.06,59.9959340,-0.0075201
1000.02,59.9959140,-0.0075804
1004.04,59.9958950,-0.0076408
1008.13,59.9958720,-0.0077015
1012.30,59.9958530,-0.0077628
1016.51,59.9958300,-0.0078248
1020.76,59.9958080,-0.0078878
1025.10,59.9957850,-0.0079521
1029.43,59.9957660,-0.0080179
1033.79,59.9957430,-0.0080854
1038.22,59.9957200,-0.0081546
1042.71,59.9957000,-0.0082255
1047.24,59.9956800,-0.0082980
1051.75,59.9956630,-0.0083719
1056.20,59.9956440,-0.0084472
1060.57,59.9956250,-0.0085238
1064.88,59.9956100,-0.0086016
1069.49,59.9955980,-0.0086805
1073.85,59.9955830,-0.0087610
1078.26,59.9955700,-0.0088429
1082.75,59.9955640,-0.0089262
1087.35,59.9955520,-0.0090110
1092.05,59.9955440,-0.0090970
1096.82,59.9955400,-0.0091840
1101.61,59.9955330,-0.0092717
1106.41,59.9955330,-0.0093595
1111.20,59.9955300,-0.0094472
1115.96,59.9955300,-0.0095347
1120.72,59.9955300,-0.0096218
1125.48,59.9955330,-0.0097087
1130.24,59.9955370,-0.0097950
1134.98,59.9955440,-0.0098806
1139.78,59.9955520,-0.0099654
1144.49,59.9955600,-0.0100492
1149.20,59.9955700,-0.0101318
1153.89,59.9955830,-0.0102131
1158.57,59.9955980,-0.0102931
1163.24,59.9956130,-0.0103719
1167.92,59.9956320,-0.0104493
1172.60,59.9956500,-0.0105253
1177.29,59.9956700,-0.0105997
1181.98,59.9956930,-0.0106725
1186.69,59.9957160,-0.0107434
1191.39,59.9957400,-0.0108124
1196.12,59.9957660,-0.0108795
1200.87,59.9957920,-0.0109448
1205.64,59.9958230,-0.0110080
1210.43,59.9958530,-0.0110691
1215.22,59.9958840,-0.0111277
1220.01,59.9959200,-0.0111838
1224.78,59.9959530,-0.0112369
1229.51,59.9959870,-0.0112868
1234.20,59.9960200,-0.0113333
1238.86,59.9960560,-0.0113766
1243.50,59.9960940,-0.0114168
1248.14,59.9961300,-0.0114539
1252.78,59.9961700,-0.0114880
1257.44,59.9962100,-0.0115195
1262.14,59.9962500,-0.0115484
1266.90,59.9962900,-0.0115747
1271.70,59.9963300,-0.0115983
1276.56,59.9963720,-0.0116194
1281.47,59.9964180,-0.0116378
1286.43,59.9964600,-0.0116535
1291.44,59.9965060,-0.0116663
1296.51,59.9965500,-0.0116764
1301.63,59.9965970,-0.0116836
1306.80,59.9966430,-0.0116880
1312.02,59.9966900,-0.0116897
1317.29,59.9967400,-0.0116889
1322.60,59.9967840,-0.0116855
1327.96,59.9968340,-0.0116796
1333.36,59.9968800,-0.0116712
1338.81,59.9969300,-0.0116605
1344.30,59.9969800,-0.0116477
1349.85,59.9970300,-0.0116328
1355.41,59.9970780,-0.0116158
1361.01,59.9971280,-0.0115968
1366.65,59.9971770,-0.0115758
1372.33,59.9972270,-0.0115526
1378.05,59.9972760,-0.0115274
1383.81,59.9973260,-0.0115001
1389.60,59.9973750,-0.0114706
1395.42,59.9974250,-0.0114389
1401.28,59.9974750,-0.0114052
1407.16,59.9975240,-0.0113692
1413.09,59.9975740,-0.0113311
1419.03,59.9976230,-0.0112909
1424.95,59.9976730,-0.0112487
1430.92,59.9977230,-0.0112043
1436.92,59.9977720,-0.0111577
1442.96,59.9978200,-0.0111090
1449.06,59.9978700,-0.0110582
1455.21,59.9979200,-0.0110052
1461.40,59.9979670,-0.0109501
1467.63,59.9980160,-0.0108931
1473.89,59.9980660,-0.0108346
1480.18,59.9981100,-0.0107752
1486.51,59.9981600,-0.0107153
1492.86,59.9982100,-0.0106555
1499.22,59.9982600,-0.0105957
1505.62,59.9983060,-0.0105355
1512.05,59.9983560,-0.0104743
1518.50,59.9984050,-0.0104121
1524.99,59.9984550,-0.0103490
1531.51,59.9985050,-0.0102851
1538.05,59.9985540,-0.0102208
1544.62,59.9986040,-0.0101563
1551.21,59.9986530,-0.0100915
1557.83,59.9987030,-0.0100266
1564.47,59.9987530,-0.0099615
1571.12,59.9988020,-0.0098966
1577.71,59.9988500,-0.0098326
1584.16,59.9989000,-0.0097702
1590.43,59.9989470,-0.0097098
1596.49,59.9989970,-0.0096515
1602.34,59.9990400,-0.0095952
1607.97,59.9990800,-0.0095409
1613.39,59.9991230,-0.0094884
1618.61,59.9991600,-0.0094378
1623.61,59.9992000,-0.0093890
1628.42,59.9992370,-0.0093418
1633.03,59.9992700,-0.0092960
1637.47,59.9993020,-0.0092516
1641.76,59.9993360,-0.0092082
1645.93,59.9993670,-0.0091658
1649.96,59.9993970,-0.0091239
1653.88,59.9994240,-0.0090821
1657.68,59.9994500,-0.0090399
1661.38,59.9994770,-0.0089970
1664.96,59.9995040,-0.0089536
1668.48,59.9995270,-0.0089096
1671.88,59.9995500,-0.0088648
1675.23,59.9995700,-0.0088193
1678.58,59.9995880,-0.0087729
1681.86,59.9996070,-0.0087259
1685.15,59.9996260,-0.0086783
1688.36,59.9996400,-0.0086299
1691.71,59.9996570,-0.0085799
1695.14,59.9996720,-0.0085284
1698.43,59.9996830,-0.0084755
1701.98,59.9997000,-0.0084218
1705.57,59.9997100,-0.0083676
1708.85,59.9997200,-0.0083131
1712.38,59.9997300,-0.0082582
1715.83,59.9997370,-0.0082030
1718.98,59.9997440,-0.0081478
1722.30,59.9997500,-0.0080924
1725.58,59.9997520,-0.0080368
1728.68,59.9997560,-0.0079810
1731.96,59.9997520,-0.0079250
1735.25,59.9997520,-0.0078688
1738.40,59.9997500,-0.0078125
1741.72,59.9997440,-0.0077564
1745.03,59.9997370,-0.0077005
1748.21,59.9997300,-0.0076453
1751.49,59.9997200,-0.0075910
1754.74,59.9997100,-0.0075374
1757.96,59.9997000,-0.0074846
1761.21,59.9996830,-0.0074329
1764.49,59.9996700,-0.0073822
1767.75,59.9996530,-0.0073329
1771.04,59.9996340,-0.0072850
1774.40,59.9996150,-0.0072388
1777.73,59.9995900,-0.0071943
1781.09,59.9995700,-0.0071514
1784.57,59.9995460,-0.0071100
1787.99,59.9995230,-0.0070702
1791.45,59.9994960,-0.0070320
1794.93,59.9994700,-0.0069958
1798.55,59.9994430,-0.0069617
1802.09,59.9994130,-0.0069299
1805.66,59.9993820,-0.0069005
1809.40,59.9993500,-0.0068734
1813.06,59.9993200,-0.0068486
1816.77,59.9992870,-0.0068264
1820.52,59.9992560,-0.0068066
1824.45,59.9992200,-0.0067893
1828.31,59.9991840,-0.0067748
1832.22,59.9991500,-0.0067632
1836.20,59.9991100,-0.0067546
1840.23,59.9990770,-0.0067488
1844.44,59.9990400,-0.0067459
1848.58,59.9990000,-0.0067462
1852.79,59.9989620,-0.0067496
1857.05,59.9989200,-0.0067560
1861.38,59.9988820,-0.0067657
1865.77,59.9988400,-0.0067787
1870.21,59.9988020,-0.0067949
1874.70,59.9987600,-0.0068138
1879.37,59.9987220,-0.0068346
1883.97,59.9986800,-0.0068576
1888.60,59.9986400,-0.0068837
1893.24,59.9985960,-0.0069133
1897.91,59.9985580,-0.0069463
1902.67,59.9985160,-0.0069822
1907.51,59.9984780,-0.0070209
1912.41,59.9984360,-0.0070622
1917.39,59.9983980,-0.0071062
1922.43,59.9983600,-0.0071529
1927.54,59.9983180,-0.0072020
1932.73,59.9982800,-0.0072532
1937.97,59.9982400,-0.0073064
1943.25,59.9982030,-0.0073611
1948.59,59.9981600,-0.0074171
1953.98,59.9981230,-0.0074742
1959.41,59.9980850,-0.0075320
1964.90,59.9980430,-0.0075900
1970.44,59.9980050,-0.0076488
1976.02,59.9979630,-0.0077087
1981.63,59.9979250,-0.0077697
1987.28,59.9978830,-0.0078312
1992.94,59.9978400,-0.0078927
1998.61,59.9978030,-0.0079535
2004.30,59.9977600,-0.0080135
2009.95,59.9977200,-0.0080723
2015.47,59.9976770,-0.0081293
2020.81,59.9976400,-0.0081840
2025.91,59.9976000,-0.0082361
2030.78,59.9975660,-0.0082857
2035.41,59.9975300,-0.0083329
2039.84,59.9974980,-0.0083777
2044.08,59.9974670,-0.0084203
2048.12,59.9974370,-0.0084605
2051.99,59.9974060,-0.0084981
2055.72,59.9973800,-0.0085332
2059.35,59.9973500,-0.0085665
2062.89,59.9973220,-0.0085975
2066.31,59.9972950,-0.0086262
2069.61,59.9972700,-0.0086533
2072.79,59.9972420,-0.0086787
2075.88,59.9972150,-0.0087022
2078.83,59.9971920,-0.0087240
2081.76,59.9971700,-0.0087445
2084.57,59.9971470,-0.0087644
2087.51,59.9971200,-0.0087832
2090.50,59.9971000,-0.0088001
2093.14,59.9970780,-0.0088149
2096.14,59.9970550,-0.0088270
2098.71,59.9970320,-0.0088363
2101.82,59.9970100,-0.0088426
2105.05,59.9969860,-0.0088458
2107.59,59.9969640,-0.0088457
2110.80,59.9969400,-0.0088424
2113.27,59.9969180,-0.0088361
2116.36,59.9969000,-0.0088268
2118.78,59.9968760,-0.0088146
2121.79,59.9968570,-0.0087997
2124.16,59.9968380,-0.0087822
2127.12,59.9968200,-0.0087622
2129.44,59.9968000,-0.0087399
2132.32,59.9967840,-0.0087154
2134.58,59.9967700,-0.0086889
2137.32,59.9967540,-0.0086605
2139.55,59.9967420,-0.0086303
2142.14,59.9967300,-0.0085985
2144.33,59.9967200,-0.0085651
2146.96,59.9967080,-0.0085299
2149.21,59.9967000,-0.0084929
2151.96,59.9966930,-0.0084543
2154.30,59.9966900,-0.0084141
2157.13,59.9966850,-0.0083721
2159.58,59.9966800,-0.0083287
2162.44,59.9966770,-0.0082838
2165.26,59.9966740,-0.0082376
2167.86,59.9966740,-0.0081900
2170.65,59.9966770,-0.0081411
2173.39,59.9966770,-0.0080912
2176.22,59.9966800,-0.0080403
2179.13,59.9966850,-0.0079883
2182.11,59.9966930,-0.0079354
2185.14,59.9967000,-0.0078818
2188.24,59.9967040,-0.0078277
2191.37,59.9967160,-0.0077733
2194.60,59.9967230,-0.0077182
2197.88,59.9967350,-0.0076624
2201.26,59.9967460,-0.0076054
2204.74,59.9967580,-0.0075470
2208.30,59.9967700,-0.0074873
2211.96,59.9967800,-0.0074266
2215.68,59.9967960,-0.0073653
2219.49,59.9968070,-0.0073032
2223.36,59.9968220,-0.0072403
2227.31,59.9968380,-0.0071764
2231.33,59.9968570,-0.0071114
2235.42,59.9968720,-0.0070453
2239.59,59.9968870,-0.0069781
2243.82,59.9969020,-0.0069097
2248.13,59.9969200,-0.0068401
